,Name,Year,Age,From Team,WAR3,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF
247,Denny Stark,2005,31,COL,-2.3,15,13,0.536,5.78,64,42,3,0,0,0,254,290,192,163,51,123,9,120,8,1,5,1169
248,Roger Clemens,2006,44,HOU,17.1,348,178,0.662,3.1,691,690,0,118,46,0,4817.2,4086,1833,1661,354,1549,63,4604,154,20,136,19820
249,Brad Radke,2006,34,MIN,10.2,148,139,0.516,4.22,378,377,0,37,10,0,2451,2643,1233,1150,326,445,12,1467,62,3,28,10244
250,Kent Mercker,2006,39,CIN,2.8,73,67,0.521,4.16,677,150,152,2,1,25,1311.2,1294,671,607,153,599,46,911,32,15,54,5734
251,Rick Helling,2006,36,MIL,2,93,81,0.534,4.68,301,234,22,10,4,0,1526.1,1540,842,793,247,562,24,1058,48,4,48,6564
252,Giovanni Carrara,2006,39,LAD,1.9,29,18,0.617,4.69,313,18,72,1,0,4,472.1,487,260,246,74,202,22,338,21,0,9,2079
253,Lance Carter,2006,32,LAD,1.5,13,12,0.52,4.15,181,0,112,0,0,29,253.2,245,119,117,38,73,10,127,6,0,3,1062
254,Aaron Small,2006,35,NYY,1.3,25,13,0.658,5.2,172,15,45,1,1,4,321.2,380,202,186,37,137,12,170,14,0,12,1454
255,Jason Johnson,2006,33,CIN,0.8,55,98,0.359,4.99,239,219,3,6,1,0,1327.2,1489,812,736,176,486,22,790,55,2,62,5866
256,Esteban Yan,2006,32,KCR,0.8,33,39,0.458,5.14,472,23,224,0,0,51,695.1,754,426,397,105,270,27,553,47,2,52,3096
257,Troy Percival,2006,37,DET,0.7,30,41,0.423,3.1,605,0,489,0,0,324,611.2,412,229,211,70,264,25,700,25,2,26,2519
258,Brian Sweeney,2006,33,SDP,0.4,3,0,1,3.49,49,2,18,0,0,2,80,80,33,31,7,19,5,40,2,0,3,335
259,Mike Bacsik,2006,29,ARI,0.3,5,5,0.5,5.88,22,15,2,1,0,0,98,120,68,64,15,31,4,52,7,0,0,440
260,Brian Meadows,2006,31,TBD,0.3,47,62,0.431,5.05,336,122,62,3,0,10,960.2,1146,582,539,139,259,44,454,19,2,29,4208
261,Julio Manon,2006,34,BAL,0,1,3,0.25,4.66,45,0,15,0,0,1,48.1,49,26,25,8,33,2,37,3,0,1,228
262,Jason Childers,2006,32,TBD,-0.1,0,1,0,4.7,5,0,0,0,0,0,7.2,12,6,4,1,4,0,5,0,0,1,40
263,Nelson Figueroa,2006,33,WSN,-0.1,7,17,0.292,4.65,74,33,6,0,0,0,261.1,268,143,135,42,103,12,152,13,0,14,1140
264,Chris Mabeus,2006,28,MIL,-0.1,0,0,,21.6,1,0,0,0,0,0,1.2,4,4,4,1,3,0,2,0,0,3,12
265,Winston Abreu,2006,30,BAL,-0.2,0,0,,10.13,7,0,2,0,0,0,8,10,10,9,1,6,1,6,1,0,0,42
266,Jose Diaz,2006,27,KCR,-0.2,0,0,,10.8,4,0,1,0,0,0,6.2,10,8,8,2,8,0,3,1,0,2,38
267,Kris Wilson,2006,30,NYY,-0.2,14,9,0.609,5.44,95,20,23,0,0,1,243.1,305,169,147,53,68,6,142,15,1,1,1093
268,Valerio De Los Santos,2006,34,CHW,-0.3,9,12,0.429,4.54,233,2,45,0,0,1,248,219,132,125,36,116,15,197,11,1,15,1067
269,Britt Reames,2006,33,PIT,-0.3,7,13,0.35,5.28,101,26,15,0,0,0,218,226,145,128,32,118,11,204,10,1,8,986
270,Seth Etherton,2006,30,KCR,-0.5,9,7,0.563,6.3,23,23,0,0,0,0,115.2,133,83,81,27,48,1,63,4,1,3,529
